frame_index,frame_label,structure_path,selection_score
423,set_000__step_00021200,/home/jovyan/AIMD-data/enol/vdw-cal/ketone_dataset/cif_frames/set_000/step_00021200.cif,0.999982
419,set_000__step_00021000,/home/jovyan/AIMD-data/enol/vdw-cal/ketone_dataset/cif_frames/set_000/step_00021000.cif,0.999982
432,set_000__step_00021650,/home/jovyan/AIMD-data/enol/vdw-cal/ketone_dataset/cif_frames/set_000/step_00021650.cif,0.999977
3831,set_001__step_00191600,/home/jovyan/AIMD-data/enol/vdw-cal/ketone_dataset/cif_frames/set_001/step_00191600.cif,0.999975
1885,set_000__step_00094300,/home/jovyan/AIMD-data/enol/vdw-cal/ketone_dataset/cif_frames/set_000/step_00094300.cif,0.999973
990,set_000__step_00049550,/home/jovyan/AIMD-data/enol/vdw-cal/ketone_dataset/cif_frames/set_000/step_00049550.cif,0.999969
2623,set_001__step_00131200,/home/jovyan/AIMD-data/enol/vdw-cal/ketone_dataset/cif_frames/set_001/step_00131200.cif,0.999967
554,set_000__step_00027750,/home/jovyan/AIMD-data/enol/vdw-cal/ketone_dataset/cif_frames/set_000/step_00027750.cif,0.999962
934,set_000__step_00046750,/home/jovyan/AIMD-data/enol/vdw-cal/ketone_dataset/cif_frames/set_000/step_00046750.cif,0.999961
619,set_000__step_00031000,/home/jovyan/AIMD-data/enol/vdw-cal/ketone_dataset/cif_frames/set_000/step_00031000.cif,0.999961
2622,set_001__step_00131150,/home/jovyan/AIMD-data/enol/vdw-cal/ketone_dataset/cif_frames/set_001/step_00131150.cif,0.999956
989,set_000__step_00049500,/home/jovyan/AIMD-data/enol/vdw-cal/ketone_dataset/cif_frames/set_000/step_00049500.cif,0.999943
768,set_000__step_00038450,/home/jovyan/AIMD-data/enol/vdw-cal/ketone_dataset/cif_frames/set_000/step_00038450.cif,0.999940
3833,set_001__step_00191700,/home/jovyan/AIMD-data/enol/vdw-cal/ketone_dataset/cif_frames/set_001/step_00191700.cif,0.999939
549,set_000__step_00027500,/home/jovyan/AIMD-data/enol/vdw-cal/ketone_dataset/cif_frames/set_000/step_00027500.cif,0.999937
542,set_000__step_00027150,/home/jovyan/AIMD-data/enol/vdw-cal/ketone_dataset/cif_frames/set_000/step_00027150.cif,0.999937
2936,set_001__step_00146850,/home/jovyan/AIMD-data/enol/vdw-cal/ketone_dataset/cif_frames/set_001/step_00146850.cif,0.999933
1523,set_000__step_00076200,/home/jovyan/AIMD-data/enol/vdw-cal/ketone_dataset/cif_frames/set_000/step_00076200.cif,0.999931
3832,set_001__step_00191650,/home/jovyan/AIMD-data/enol/vdw-cal/ketone_dataset/cif_frames/set_001/step_00191650.cif,0.999925
418,set_000__step_00020950,/home/jovyan/AIMD-data/enol/vdw-cal/ketone_dataset/cif_frames/set_000/step_00020950.cif,0.999921
