binding_energy_eV,intensity,background,co2_peak,co3_peak,fitted
7.879950000000000045e+02,1.067090000000000032e+02,9.859086485937432087e+01,4.430439741831657396e-11,1.805576957044601668e-13,9.859086485941881506e+01
7.880950000000000273e+02,1.043229999999999933e+02,9.746961627138401241e+01,2.128031690470009050e-11,5.907379417810378294e-14,9.746961627140534290e+01
7.881950000000000500e+02,1.009449999999999932e+02,9.531089233498386193e+01,1.013403472388038205e-11,1.898311289774167385e-14,9.531089233499400848e+01
7.882949999999999591e+02,9.652389999999999759e+01,9.204256451171147546e+01,4.784755219077098806e-12,5.991474273682937090e-15,9.204256451171626452e+01
7.883949999999999818e+02,9.120159999999999911e+01,8.777288455968809444e+01,2.239804441292816924e-12,1.857349658606676555e-15,8.777288455969033976e+01
7.884950000000000045e+02,8.521769999999999357e+01,8.271383419409380622e+01,1.039521600270104068e-12,5.655191877759015530e-16,8.271383419409484361e+01
7.885950000000000273e+02,7.941519999999999868e+01,7.765100465007569142e+01,4.783325932195148210e-13,1.691199036989531978e-16,7.765100465007617458e+01
7.886950000000000500e+02,7.412879999999999825e+01,7.292806199297324099e+01,2.182224717641709663e-13,4.967476298233292814e-17,7.292806199297345415e+01
7.887949999999999591e+02,7.131040000000000134e+01,7.042073622023713142e+01,9.870564863224489531e-14,1.433080503709679103e-17,7.042073622023723090e+01
7.888949999999999818e+02,6.886159999999999570e+01,6.820615974355141020e+01,4.426470587065044948e-14,4.060682884546112868e-18,6.820615974355145283e+01
