atom_index,symbol,group
398,O,surface
399,O,surface
400,Zn,surface
401,Zn,surface
402,Zn,surface
403,Zn,surface
404,O,surface
405,O,surface
406,O,surface
407,O,surface
408,Zn,surface
409,Zn,surface
410,Zn,surface
411,Zn,surface
412,Zn,surface
413,Zn,surface
414,O,surface
415,O,surface
416,O,surface
417,O,surface
418,O,surface
419,O,surface
420,Zn,surface
421,Zn,surface
422,Zn,surface
423,Zn,surface
424,O,surface
425,O,surface
426,O,surface
427,O,surface
428,Zn,surface
429,Zn,surface
430,Zn,surface
431,Zn,surface
432,Zn,surface
433,Zn,surface
434,O,surface
435,O,surface
436,O,surface
437,O,surface
438,O,surface
439,O,surface
440,Zn,surface
441,Zn,surface
442,Zn,surface
443,Zn,surface
444,O,surface
445,O,surface
446,O,surface
447,O,surface
448,Zn,surface
449,Zn,surface
450,Zn,surface
451,Zn,surface
452,Zn,surface
453,Zn,surface
454,O,surface
455,O,surface
456,O,surface
457,O,surface
458,O,surface
459,O,surface
460,Zn,surface
461,Zn,surface
462,Zn,surface
463,Zn,surface
464,O,surface
465,O,surface
466,O,surface
467,O,surface
468,Zn,surface
469,Zn,surface
470,Zn,surface
471,Zn,surface
472,Zn,surface
473,Zn,surface
474,O,surface
475,O,surface
476,O,surface
477,O,surface
478,O,surface
479,O,surface
480,Zn,surface
481,Zn,surface
482,Zn,surface
483,Zn,surface
484,O,surface
485,O,surface
486,O,surface
487,O,surface
488,Zn,surface
489,Zn,surface
490,Zn,surface
491,Zn,surface
492,Zn,surface
493,Zn,surface
494,O,surface
495,O,surface
496,O,surface
497,O,surface
498,O,surface
499,O,surface
500,Zn,surface
501,Zn,surface
502,Zn,surface
503,Zn,surface
504,O,surface
505,O,surface
506,O,surface
507,O,surface
508,Zn,surface
509,Zn,surface
510,Zn,surface
511,Zn,surface
512,Zn,surface
513,Zn,surface
514,O,surface
515,O,surface
516,O,surface
517,O,surface
518,O,surface
519,O,surface
520,Zn,surface
521,Zn,surface
522,Zn,surface
523,Zn,surface
524,O,surface
525,O,surface
526,O,surface
527,O,surface
528,Zn,surface
529,Zn,surface
530,Zn,surface
531,Zn,surface
532,Zn,surface
533,Zn,surface
534,O,surface
535,O,surface
536,O,surface
537,O,surface
538,O,surface
539,O,surface
540,Zn,surface
541,Zn,surface
542,Zn,surface
543,Zn,surface
544,O,surface
545,O,surface
546,O,surface
547,O,surface
548,Zn,surface
549,Zn,surface
550,Zn,surface
551,Zn,surface
552,Zn,surface
553,Zn,surface
554,O,surface
555,O,surface
556,O,surface
557,O,surface
558,O,surface
559,O,surface
560,Zn,surface
561,Zn,surface
562,Zn,surface
563,Zn,surface
564,O,surface
565,O,surface
566,O,surface
567,O,surface
568,Zn,surface
569,Zn,surface
570,Zn,surface
571,Zn,surface
572,Zn,surface
573,Zn,surface
574,O,surface
575,O,surface
576,O,surface
577,O,surface
578,O,surface
579,O,surface
580,Zn,surface
581,Zn,surface
582,Zn,surface
583,Zn,surface
584,O,surface
585,O,surface
586,O,surface
587,O,surface
588,Zn,surface
589,Zn,surface
590,Zn,surface
591,Zn,surface
592,Zn,surface
593,Zn,surface
594,O,surface
595,O,surface
596,O,surface
597,O,surface
598,O,surface
599,O,surface
600,Zn,surface
601,Zn,surface
602,Zn,surface
603,Zn,surface
604,O,surface
605,O,surface
606,O,surface
607,O,surface
608,Zn,surface
