frame_index,frame_label,previous_frame_label,organic-surface,water-surface,organic-water
866,set_000__step_00043350,set_000__step_00043300,0,5,0
867,set_000__step_00043400,set_000__step_00043350,0,4,0
868,set_000__step_00043450,set_000__step_00043400,0,3,0
869,set_000__step_00043500,set_000__step_00043450,0,3,0
870,set_000__step_00043550,set_000__step_00043500,0,3,0
871,set_000__step_00043600,set_000__step_00043550,0,4,0
872,set_000__step_00043650,set_000__step_00043600,0,3,0
873,set_000__step_00043700,set_000__step_00043650,0,0,0
874,set_000__step_00043750,set_000__step_00043700,0,10,0
875,set_000__step_00043800,set_000__step_00043750,0,4,0
876,set_000__step_00043850,set_000__step_00043800,0,11,0
877,set_000__step_00043900,set_000__step_00043850,0,9,0
878,set_000__step_00043950,set_000__step_00043900,0,5,0
879,set_000__step_00044000,set_000__step_00043950,0,9,0
880,set_000__step_00044050,set_000__step_00044000,0,8,0
881,set_000__step_00044100,set_000__step_00044050,0,7,0
882,set_000__step_00044150,set_000__step_00044100,0,7,0
883,set_000__step_00044200,set_000__step_00044150,0,5,0
884,set_000__step_00044250,set_000__step_00044200,0,5,0
885,set_000__step_00044300,set_000__step_00044250,0,6,0
886,set_000__step_00044350,set_000__step_00044300,0,5,0
887,set_000__step_00044400,set_000__step_00044350,0,4,0
888,set_000__step_00044450,set_000__step_00044400,0,2,0
889,set_000__step_00044500,set_000__step_00044450,0,4,0
890,set_000__step_00044550,set_000__step_00044500,0,3,0
891,set_000__step_00044600,set_000__step_00044550,0,3,0
892,set_000__step_00044650,set_000__step_00044600,0,4,0
893,set_000__step_00044700,set_000__step_00044650,0,4,0
894,set_000__step_00044750,set_000__step_00044700,0,7,0
895,set_000__step_00044800,set_000__step_00044750,0,6,0
896,set_000__step_00044850,set_000__step_00044800,0,5,0
897,set_000__step_00044900,set_000__step_00044850,0,4,0
898,set_000__step_00044950,set_000__step_00044900,0,2,0
899,set_000__step_00045000,set_000__step_00044950,0,3,0
900,set_000__step_00045050,set_000__step_00045000,0,3,0
901,set_000__step_00045100,set_000__step_00045050,0,6,0
902,set_000__step_00045150,set_000__step_00045100,0,4,0
903,set_000__step_00045200,set_000__step_00045150,0,3,0
904,set_000__step_00045250,set_000__step_00045200,0,4,0
905,set_000__step_00045300,set_000__step_00045250,0,3,0
906,set_000__step_00045350,set_000__step_00045300,0,6,0
907,set_000__step_00045400,set_000__step_00045350,0,3,0
908,set_000__step_00045450,set_000__step_00045400,0,2,0
909,set_000__step_00045500,set_000__step_00045450,0,3,0
910,set_000__step_00045550,set_000__step_00045500,0,5,0
911,set_000__step_00045600,set_000__step_00045550,0,3,0
912,set_000__step_00045650,set_000__step_00045600,0,4,0
913,set_000__step_00045700,set_000__step_00045650,0,4,0
914,set_000__step_00045750,set_000__step_00045700,0,9,0
915,set_000__step_00045800,set_000__step_00045750,0,3,0
916,set_000__step_00045850,set_000__step_00045800,0,5,0
917,set_000__step_00045900,set_000__step_00045850,0,5,0
918,set_000__step_00045950,set_000__step_00045900,0,3,0
