frame_index,frame_label,previous_frame_label,interface_type,event_type,atom_i,atom_j,group_i,group_j,symbol_i,symbol_j,pair,distance_broken,distance_formed
47,set_000__step_00023550,set_000__step_00023050,water-surface,formed,293,1033,surface,water,Zn,O,O-Zn,,1.935248
47,set_000__step_00023550,set_000__step_00023050,water-surface,formed,873,1051,surface,water,Zn,O,O-Zn,,2.136772
47,set_000__step_00023550,set_000__step_00023050,water-surface,formed,879,1038,surface,water,O,H,H-O,,1.031296
47,set_000__step_00023550,set_000__step_00023050,water-surface,broken,59,1050,surface,water,O,H,H-O,1.209294,
47,set_000__step_00023550,set_000__step_00023050,water-surface,broken,253,1021,surface,water,Zn,O,O-Zn,2.134318,
47,set_000__step_00023550,set_000__step_00023050,water-surface,broken,453,1015,surface,water,Zn,O,O-Zn,2.076689,
47,set_000__step_00023550,set_000__step_00023050,water-surface,broken,659,1014,surface,water,O,H,H-O,0.964860,
48,set_000__step_00024050,set_000__step_00023550,water-surface,formed,253,1021,surface,water,Zn,O,O-Zn,,2.084658
48,set_000__step_00024050,set_000__step_00023550,water-surface,formed,453,1015,surface,water,Zn,O,O-Zn,,2.119580
48,set_000__step_00024050,set_000__step_00023550,water-surface,formed,659,1014,surface,water,O,H,H-O,,1.042663
48,set_000__step_00024050,set_000__step_00023550,water-surface,broken,259,1034,surface,water,O,H,H-O,1.040577,
48,set_000__step_00024050,set_000__step_00023550,water-surface,broken,333,1048,surface,water,Zn,O,O-Zn,2.086303,
49,set_000__step_00024550,set_000__step_00024050,water-surface,formed,259,1034,surface,water,O,H,H-O,,1.044985
49,set_000__step_00024550,set_000__step_00024050,water-surface,broken,33,1027,surface,water,Zn,O,O-Zn,2.120173,
49,set_000__step_00024550,set_000__step_00024050,water-surface,broken,453,1015,surface,water,Zn,O,O-Zn,2.119580,
49,set_000__step_00024550,set_000__step_00024050,organic-surface,broken,773,969,surface,organic,Zn,O,O-Zn,2.018997,
50,set_000__step_00025050,set_000__step_00024550,water-surface,formed,33,1027,surface,water,Zn,O,O-Zn,,2.106554
50,set_000__step_00025050,set_000__step_00024550,water-surface,formed,333,1048,surface,water,Zn,O,O-Zn,,2.095135
50,set_000__step_00025050,set_000__step_00024550,water-surface,formed,419,1016,surface,water,O,H,H-O,,0.999753
50,set_000__step_00025050,set_000__step_00024550,water-surface,formed,453,1015,surface,water,Zn,O,O-Zn,,1.913254
50,set_000__step_00025050,set_000__step_00024550,organic-surface,formed,773,969,surface,organic,Zn,O,O-Zn,,2.075570
50,set_000__step_00025050,set_000__step_00024550,water-surface,broken,253,1021,surface,water,Zn,O,O-Zn,2.058824,
50,set_000__step_00025050,set_000__step_00024550,water-surface,broken,659,1014,surface,water,O,H,H-O,1.189047,
50,set_000__step_00025050,set_000__step_00024550,water-surface,broken,699,989,surface,water,O,H,H-O,1.055101,
50,set_000__step_00025050,set_000__step_00024550,water-surface,broken,768,1006,surface,water,Zn,O,O-Zn,1.974116,
51,set_000__step_00025550,set_000__step_00025050,water-surface,formed,659,1014,surface,water,O,H,H-O,,1.185751
51,set_000__step_00025550,set_000__step_00025050,water-surface,formed,768,1006,surface,water,Zn,O,O-Zn,,1.988028
51,set_000__step_00025550,set_000__step_00025050,water-surface,broken,33,1027,surface,water,Zn,O,O-Zn,2.106554,
51,set_000__step_00025550,set_000__step_00025050,water-surface,broken,354,1043,surface,water,O,H,H-O,1.035385,
51,set_000__step_00025550,set_000__step_00025050,water-surface,broken,419,1016,surface,water,O,H,H-O,0.999753,
51,set_000__step_00025550,set_000__step_00025050,water-surface,broken,834,996,surface,water,O,H,H-O,1.027537,
51,set_000__step_00025550,set_000__step_00025050,water-surface,broken,879,1038,surface,water,O,H,H-O,1.008786,
52,set_000__step_00026050,set_000__step_00025550,water-surface,formed,33,1027,surface,water,Zn,O,O-Zn,,2.107623
52,set_000__step_00026050,set_000__step_00025550,water-surface,formed,253,1021,surface,water,Zn,O,O-Zn,,2.087634
52,set_000__step_00026050,set_000__step_00025550,water-surface,formed,354,1043,surface,water,O,H,H-O,,0.999794
52,set_000__step_00026050,set_000__step_00025550,water-surface,formed,699,989,surface,water,O,H,H-O,,1.004096
52,set_000__step_00026050,set_000__step_00025550,water-surface,formed,879,1038,surface,water,O,H,H-O,,0.980081
52,set_000__step_00026050,set_000__step_00025550,water-surface,broken,259,1034,surface,water,O,H,H-O,1.190341,
