frame_index,frame_label,previous_frame_label,interface_type,event_type,atom_i,atom_j,group_i,group_j,symbol_i,symbol_j,pair,distance_broken,distance_formed
24,set_000__step_00012050,set_000__step_00011550,water-surface,broken,333,1048,surface,water,Zn,O,O-Zn,1.868237,
24,set_000__step_00012050,set_000__step_00011550,water-surface,broken,354,1043,surface,water,O,H,H-O,1.208344,
24,set_000__step_00012050,set_000__step_00011550,water-surface,broken,959,1022,surface,water,O,H,H-O,1.039528,
25,set_000__step_00012550,set_000__step_00012050,water-surface,formed,59,1050,surface,water,O,H,H-O,,1.029130
25,set_000__step_00012550,set_000__step_00012050,water-surface,formed,333,1048,surface,water,Zn,O,O-Zn,,2.050546
25,set_000__step_00012550,set_000__step_00012050,water-surface,formed,354,1043,surface,water,O,H,H-O,,1.085302
25,set_000__step_00012550,set_000__step_00012050,water-surface,broken,419,1016,surface,water,O,H,H-O,1.115191,
25,set_000__step_00012550,set_000__step_00012050,organic-surface,broken,713,969,surface,organic,Zn,O,O-Zn,2.073384,
25,set_000__step_00012550,set_000__step_00012050,water-surface,broken,768,1006,surface,water,Zn,O,O-Zn,1.950294,
26,set_000__step_00013050,set_000__step_00012550,water-surface,formed,193,1036,surface,water,Zn,O,O-Zn,,1.967772
26,set_000__step_00013050,set_000__step_00012550,water-surface,formed,259,1034,surface,water,O,H,H-O,,1.185608
26,set_000__step_00013050,set_000__step_00012550,water-surface,formed,659,1014,surface,water,O,H,H-O,,1.090306
26,set_000__step_00013050,set_000__step_00012550,water-surface,formed,768,1006,surface,water,Zn,O,O-Zn,,2.129256
26,set_000__step_00013050,set_000__step_00012550,organic-surface,formed,773,969,surface,organic,Zn,O,O-Zn,,2.015027
26,set_000__step_00013050,set_000__step_00012550,water-surface,formed,879,1038,surface,water,O,H,H-O,,0.958751
26,set_000__step_00013050,set_000__step_00012550,water-surface,broken,59,1050,surface,water,O,H,H-O,1.029130,
27,set_000__step_00013550,set_000__step_00013050,water-surface,formed,33,1027,surface,water,Zn,O,O-Zn,,1.825975
27,set_000__step_00013550,set_000__step_00013050,water-surface,formed,719,1029,surface,water,O,H,H-O,,1.221185
27,set_000__step_00013550,set_000__step_00013050,water-surface,broken,368,1045,surface,water,Zn,O,O-Zn,2.044611,
27,set_000__step_00013550,set_000__step_00013050,water-surface,broken,453,1015,surface,water,Zn,O,O-Zn,1.961994,
27,set_000__step_00013550,set_000__step_00013050,water-surface,broken,659,1014,surface,water,O,H,H-O,1.090306,
27,set_000__step_00013550,set_000__step_00013050,water-surface,broken,693,1012,surface,water,Zn,O,O-Zn,2.043201,
27,set_000__step_00013550,set_000__step_00013050,water-surface,broken,873,1051,surface,water,Zn,O,O-Zn,2.101161,
